Model,Average,ARC ,HellaSwag ,MMLU ,TruthfulQA ,Winogrande ,GSM8K 
Qwen /Qwen -72BB ,73.6,65.19,85.94,77.37,60.19,82.48,70.43
chargoddard /Y1-34B -Llama B ,70.95,64.59,85.63,76.31,55.6,82.79,60.8
01-ai /Yi -34B-200KB ,70.81,65.36,85.58,76.06,53.64,82.56,61.64
chargoddard /internlm2-20b -11amaD ,70.66,64.59,83.12,67.27,54.13,84.21,70.66
chargoddard /intern1m2-20b -11amaB ,70.61,64.68,83.16,67.17,54.17,84.29,70.2
internlm /intern1m2-20b D ,69.75,62.97,83.21,67.58,51.27,85.56,67.93
01-ai /Yi -34BB,69.42,64.59,85.69,76.35,56.23,83.03,50.64
deepseek -ai /deepseek -11m-67b-base ,69.38,65.44,87.1,71.78,51.08,84.14,56.71
mistralai /Mixtral -8x7B-v0.1 B ,68.42,66.04,86.49,71.82,46.78,81.93,57.47
openagi -project /OpenAGI -7B-v0.1 B ,67.87,68.26,85.06,61.6,59.4,79.79,53.07
tiiuae /falcon -180B,67.85,69.45,88.86,70.5,45.47,86.9,45.94
chargoddard /intern1m2-7b -11amaD ,66.94,60.49,80.99,63.16,54.25,79.87,62.85
